year,observations,break_risk,affected,climate_city
2011,27,0.0,0.2345679012345679,0.3139396739591105
2012,12,0.8333333333333334,0.023809523809523808,0.11552453009332421
2013,1,0.0,0.0,0.0
2014,128,0.4609375,0.30390625,0.4635842462175115
2015,186,0.4838709677419355,0.1946236559139785,0.4586091975458759
2016,257,0.4980544747081712,0.23037311176774622,0.5171017788234085
2017,309,0.4692556634304207,0.22254987588708647,0.48741552334753924
2018,247,0.42105263157894735,0.1475294498573851,0.27184960555536286
2019,333,0.46846846846846846,0.19576489593392907,0.4534420478080189
2020,639,0.49608763693270735,0.18532189743526392,0.43811775566409294
2021,806,0.5024813895781638,0.19008005281267146,0.3935652248807534
2022,918,0.579520697167756,0.23773809705182256,0.47670230573721317
2023,325,0.5046153846153846,0.08498534018935357,0.17514105017949486
