grid_value,predicted_risk
0.0,0.5435707028692944
0.044793986730701375,0.5434102740169909
0.08958797346140275,0.5432595005678023
0.13438196019210413,0.5431124214818716
0.1791759469228055,0.5429526619839334
0.22396993365350687,0.5428153542677403
0.26876392038420827,0.5426685245357575
0.3135579071149096,0.5425241064650449
0.358351893845611,0.5423861562430522
0.4031458805763124,0.542234162725565
0.44793986730701374,0.5420763515839448
0.49273385403771514,0.5419168892030999
0.5375278407684165,0.5417711306890938
0.5823218274991179,0.5416143255414286
0.6271158142298192,0.5414425505939245
0.6719098009605207,0.541262061220218
0.716703787691222,0.5410604059938442
0.7614977744219233,0.5408528157476091
0.8062917611526248,0.5406392573949805
0.8510857478833261,0.5404160576167671
0.8958797346140275,0.540187488760082
0.9406737213447289,0.5399298560635543
0.9854677080754303,0.5396559679435637
1.0302616948061316,0.5393663829803356
1.075055681536833,0.5390484147078558
1.1198496682675343,0.5386986949188721
1.1646436549982357,0.5383319570798748
1.2094376417289372,0.5379571688795665
1.2542316284596384,0.5375637145796305
1.2990256151903399,0.537140179656071
1.3438196019210413,0.5366870132669163
1.3886135886517426,0.5361953476948149
1.433407575382444,0.5356777605539327
1.4782015621131455,0.5351372942886059
1.5229955488438467,0.5345918166754464
1.5677895355745481,0.5340395231374564
1.6125835223052496,0.5334783681142999
1.6573775090359508,0.532887919704059
1.7021714957666523,0.5322749968834422
1.7469654824973537,0.5316263190130216
1.791759469228055,0.5309531599701427
